index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,12/18/2020,Buy,KSPILI,48581R205,KASPI.KZ JSC,"4,652",0.0152
2,ARKG,12/18/2020,Buy,TDOC,87918A105,TELADOC HEALTH INC,"36,195",0.115
3,ARKG,12/18/2020,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,"225,600",0.0698
4,ARKG,12/18/2020,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,"14,016",0.0021
5,ARKG,12/18/2020,Buy,SDGR,80810D103,SCHRODINGER INC/UNITED STATES,"84,900",0.111
6,ARKG,12/18/2020,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,"45,550",0.0391
7,ARKG,12/18/2020,Buy,INCY,45337C102,INCYTE CORP,"59,684",0.0866
8,ARKG,12/18/2020,Buy,CDXS,192005106,CODEXIS INC,"271,398",0.0884
9,ARKG,12/18/2020,Buy,BLI,084310101,BERKELEY LIGHTS INC,"16,779",0.0248
10,ARKG,12/18/2020,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,"47,117",0.1148
11,ARKG,12/18/2020,Sell,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,"17,620",0.0282
12,ARKK,12/18/2020,Buy,U,91332U101,UNITY SOFTWARE INC,"75,382",0.0675
13,ARKK,12/18/2020,Sell,XONE,302104104,EXONE CO/THE,"69,005",0.005
14,ARKQ,12/18/2020,Buy,KMTUY,500458401,KOMATSU LTD,"27,173",0.0519
